name,region,date,value
Количество заявок на потребительские кредиты,Россия,2013-01-15,571147
Количество заявок на потребительские кредиты,Россия,2013-02-15,504508
Количество заявок на потребительские кредиты,Россия,2013-03-15,628803
Количество заявок на потребительские кредиты,Россия,2013-04-15,836054
Количество заявок на потребительские кредиты,Россия,2013-05-15,867235
Количество заявок на потребительские кредиты,Россия,2013-06-15,768036
Количество заявок на потребительские кредиты,Россия,2013-07-15,912096
Количество заявок на потребительские кредиты,Россия,2013-08-15,911461
Количество заявок на потребительские кредиты,Россия,2013-09-15,856974
Количество заявок на потребительские кредиты,Россия,2013-10-15,977855
Количество заявок на потребительские кредиты,Россия,2013-11-15,1000675
Количество заявок на потребительские кредиты,Россия,2013-12-15,1103781
Количество заявок на потребительские кредиты,Россия,2014-01-15,526412
Количество заявок на потребительские кредиты,Россия,2014-02-15,815619
Количество заявок на потребительские кредиты,Россия,2014-03-15,846748
Количество заявок на потребительские кредиты,Россия,2014-04-15,1021656
Количество заявок на потребительские кредиты,Россия,2014-05-15,956861
Количество заявок на потребительские кредиты,Россия,2014-06-15,943657
Количество заявок на потребительские кредиты,Россия,2014-07-15,1072903
Количество заявок на потребительские кредиты,Россия,2014-08-15,1034128
Количество заявок на потребительские кредиты,Россия,2014-09-15,911897
Количество заявок на потребительские кредиты,Россия,2014-10-15,929318
Количество заявок на потребительские кредиты,Россия,2014-11-15,806197
Количество заявок на потребительские кредиты,Россия,2014-12-15,896531
Количество заявок на потребительские кредиты,Россия,2015-01-15,264938
Количество заявок на потребительские кредиты,Россия,2015-02-15,342134
Количество заявок на потребительские кредиты,Россия,2015-03-15,407710
Количество заявок на потребительские кредиты,Россия,2015-04-15,546438
Количество заявок на потребительские кредиты,Россия,2015-05-15,504287
Количество заявок на потребительские кредиты,Россия,2015-06-15,969982
Количество заявок на потребительские кредиты,Россия,2015-07-15,1019089
Количество заявок на потребительские кредиты,Россия,2015-08-15,891671
Количество заявок на потребительские кредиты,Россия,2015-09-15,816217
Количество заявок на потребительские кредиты,Россия,2015-10-15,789457
Количество заявок на потребительские кредиты,Россия,2015-11-15,707114
Количество заявок на потребительские кредиты,Россия,2015-12-15,980369
Количество заявок на потребительские кредиты,Россия,2016-01-15,579791
Количество заявок на потребительские кредиты,Россия,2016-02-15,644253
Количество заявок на потребительские кредиты,Россия,2016-03-15,754960
Количество заявок на потребительские кредиты,Россия,2016-04-15,846514
Количество заявок на потребительские кредиты,Россия,2016-05-15,852801
Количество заявок на потребительские кредиты,Россия,2016-06-15,928216
Количество заявок на потребительские кредиты,Россия,2016-07-15,922437
Количество заявок на потребительские кредиты,Россия,2016-08-15,1012085
Количество заявок на потребительские кредиты,Россия,2016-09-15,894918
Количество заявок на потребительские кредиты,Россия,2016-10-15,855451
Количество заявок на потребительские кредиты,Россия,2016-11-15,874404
Количество заявок на потребительские кредиты,Россия,2016-12-15,1019534
Количество заявок на потребительские кредиты,Россия,2017-01-15,696232
Количество заявок на потребительские кредиты,Россия,2017-02-15,723916
Количество заявок на потребительские кредиты,Россия,2017-03-15,955686
Количество заявок на потребительские кредиты,Россия,2017-04-15,849827
Количество заявок на потребительские кредиты,Россия,2017-05-15,902027
Количество заявок на потребительские кредиты,Россия,2017-06-15,1040206
Количество заявок на потребительские кредиты,Россия,2017-07-15,958766
Количество заявок на потребительские кредиты,Россия,2017-08-15,1065718
Количество заявок на потребительские кредиты,Россия,2017-09-15,913338
Количество заявок на потребительские кредиты,Россия,2017-10-15,965363
Количество заявок на потребительские кредиты,Россия,2017-11-15,990385
Количество заявок на потребительские кредиты,Россия,2017-12-15,1143893
Количество заявок на потребительские кредиты,Россия,2018-01-15,902906
Количество заявок на потребительские кредиты,Россия,2018-02-15,975725
Количество заявок на потребительские кредиты,Россия,2018-03-15,1162865
Количество заявок на потребительские кредиты,Россия,2018-04-15,1249665
Количество заявок на потребительские кредиты,Россия,2018-05-15,1220273
Количество заявок на потребительские кредиты,Россия,2018-06-15,1308350
Количество заявок на потребительские кредиты,Россия,2018-07-15,1387368
Количество заявок на потребительские кредиты,Россия,2018-08-15,1478335
Количество заявок на потребительские кредиты,Россия,2018-09-15,1400647
Количество заявок на потребительские кредиты,Россия,2018-10-15,1468406
Количество заявок на потребительские кредиты,Россия,2018-11-15,973613
Количество заявок на потребительские кредиты,Алтайский край,2013-01-15,13423
Количество заявок на потребительские кредиты,Алтайский край,2013-02-15,12440
Количество заявок на потребительские кредиты,Алтайский край,2013-03-15,15906
Количество заявок на потребительские кредиты,Алтайский край,2013-04-15,22172
Количество заявок на потребительские кредиты,Алтайский край,2013-05-15,22642
Количество заявок на потребительские кредиты,Алтайский край,2013-06-15,19942
Количество заявок на потребительские кредиты,Алтайский край,2013-07-15,22860
Количество заявок на потребительские кредиты,Алтайский край,2013-08-15,21789
Количество заявок на потребительские кредиты,Алтайский край,2013-09-15,18717
Количество заявок на потребительские кредиты,Алтайский край,2013-10-15,21348
Количество заявок на потребительские кредиты,Алтайский край,2013-11-15,22079
Количество заявок на потребительские кредиты,Алтайский край,2013-12-15,23181
Количество заявок на потребительские кредиты,Алтайский край,2014-01-15,11372
Количество заявок на потребительские кредиты,Алтайский край,2014-02-15,17683
Количество заявок на потребительские кредиты,Алтайский край,2014-03-15,18359
Количество заявок на потребительские кредиты,Алтайский край,2014-04-15,24797
Количество заявок на потребительские кредиты,Алтайский край,2014-05-15,22465
Количество заявок на потребительские кредиты,Алтайский край,2014-06-15,20261
Количество заявок на потребительские кредиты,Алтайский край,2014-07-15,23822
Количество заявок на потребительские кредиты,Алтайский край,2014-08-15,23278
Количество заявок на потребительские кредиты,Алтайский край,2014-09-15,20369
Количество заявок на потребительские кредиты,Алтайский край,2014-10-15,19823
Количество заявок на потребительские кредиты,Алтайский край,2014-11-15,16407
Количество заявок на потребительские кредиты,Алтайский край,2014-12-15,18096
Количество заявок на потребительские кредиты,Алтайский край,2015-01-15,5614
Количество заявок на потребительские кредиты,Алтайский край,2015-02-15,7245
Количество заявок на потребительские кредиты,Алтайский край,2015-03-15,8061
Количество заявок на потребительские кредиты,Алтайский край,2015-04-15,11094
Количество заявок на потребительские кредиты,Алтайский край,2015-05-15,10396
Количество заявок на потребительские кредиты,Алтайский край,2015-06-15,20993
Количество заявок на потребительские кредиты,Алтайский край,2015-07-15,21175
Количество заявок на потребительские кредиты,Алтайский край,2015-08-15,19220
